N,DCT2 Time,My DCT2 Time
50,0.00016617774963378906,0.5093812942504883
100,0.0002734661102294922,2.1884758472442627
150,0.0004394054412841797,7.727994918823242
200,0.0006635189056396484,18.02287220954895
250,0.001031637191772461,35.41838884353638
300,0.0017290115356445312,61.54541087150574
350,0.0036482810974121094,100.65275359153748
400,0.003009319305419922,148.18798279762268
450,0.002284526824951172,209.0789225101471
500,0.0027894973754882812,288.62447333335876
550,0.004098415374755859,394.81552386283875
600,0.004853010177612305,502.67316365242004
