N,DCT2 Time,My DCT2 Time
2,0.0001316070556640625,0.00010418891906738281
12,0.00010967254638671875,0.007542133331298828
4,0.00011396408081054688,0.000370025634765625
6,0.00011277198791503906,0.001055002212524414
16,0.00010824203491210938,0.017586469650268555
8,0.00014925003051757812,0.0021805763244628906
10,0.0001354217529296875,0.004149198532104492
20,8.96453857421875e-05,0.03374457359313965
14,0.0001373291015625,0.011406898498535156
22,0.00011205673217773438,0.0432586669921875
24,0.00010013580322265625,0.04481387138366699
18,0.00011157989501953125,0.023846864700317383
26,0.00010561943054199219,0.059438228607177734
28,9.72747802734375e-05,0.06769776344299316
30,8.392333984375e-05,0.0817716121673584
34,0.00011086463928222656,0.10213375091552734
38,0.00011682510375976562,0.13984131813049316
32,0.00012946128845214844,0.08966612815856934
36,9.322166442871094e-05,0.11585140228271484
42,0.0001087188720703125,0.24837994575500488
46,0.00014066696166992188,0.2349085807800293
50,8.511543273925781e-05,0.2754175662994385
40,0.00011658668518066406,0.16263723373413086
54,9.679794311523438e-05,0.33932948112487793
44,0.00010228157043457031,0.1787397861480713
48,0.00011301040649414062,0.23817086219787598
52,0.0001461505889892578,0.2975432872772217
58,0.0002200603485107422,0.4606001377105713
62,0.00019121170043945312,0.5036990642547607
56,0.00011873245239257812,0.3731851577758789
66,0.00010704994201660156,0.6059746742248535
60,0.00013709068298339844,0.5004127025604248
70,0.00011539459228515625,0.717104434967041
64,0.0001354217529296875,0.5727200508117676
74,0.00025534629821777344,0.867501974105835
78,0.00013780593872070312,1.0448799133300781
68,0.0001671314239501953,0.7768130302429199
72,0.00013375282287597656,0.8161935806274414
82,0.00026726722717285156,1.2245173454284668
76,0.0002033710479736328,0.9592878818511963
86,0.0002923011779785156,1.4107458591461182
80,0.0001704692840576172,1.0843336582183838
90,0.00018525123596191406,1.6186587810516357
84,0.00013399124145507812,1.2601203918457031
94,0.00036072731018066406,1.7990326881408691
98,0.0001804828643798828,1.9386906623840332
88,0.00016570091247558594,1.4431846141815186
102,0.00017309188842773438,2.1828153133392334
92,0.00023889541625976562,1.6624677181243896
106,0.00047898292541503906,2.514371871948242
96,0.00018644332885742188,1.8174018859863281
100,0.00016546249389648438,2.0310862064361572
110,0.00017905235290527344,2.7808570861816406
104,0.00019598007202148438,2.281500816345215
114,0.0002353191375732422,3.0295276641845703
108,0.00017189979553222656,2.6074352264404297
118,0.00034046173095703125,3.3774609565734863
112,0.0001914501190185547,2.8726189136505127
122,0.0003371238708496094,3.702111005783081
126,0.00021576881408691406,4.057047367095947
116,0.0002446174621582031,3.348651885986328
130,0.00021719932556152344,4.719389915466309
120,0.00018858909606933594,3.6940505504608154
134,0.0004963874816894531,5.1414172649383545
124,0.0003085136413574219,4.071448802947998
138,0.00027751922607421875,5.602652311325073
128,0.00021529197692871094,4.515601396560669
132,0.00028014183044433594,4.9448323249816895
142,0.0005352497100830078,6.152765512466431
144,0.0002524852752685547,6.511090040206909
136,0.00025272369384765625,5.5835607051849365
146,0.0005095005035400391,6.893285512924194
140,0.00037026405334472656,6.10925030708313
148,0.0003261566162109375,7.417414903640747
150,0.00026702880859375,7.51842474937439
152,0.00028252601623535156,7.785752058029175
154,0.0004532337188720703,8.145531177520752
156,0.0002713203430175781,8.671638488769531
158,0.0006875991821289062,9.099233865737915
160,0.00024008750915527344,9.253157138824463
162,0.00025844573974609375,9.657420635223389
164,0.00041604042053222656,10.157284021377563
166,0.0009367465972900391,10.501901388168335
168,0.00034999847412109375,10.872914552688599
